Date,Close
10/23/2018,32.33
10/24/2018,31.52
10/25/2018,31.19
10/26/2018,31.26
10/29/2018,30.49
10/30/2018,30.48
10/31/2018,31.11
11/1/2018,31.67
11/2/2018,31.42
11/5/2018,32.32
11/6/2018,33.12
11/7/2018,33.17
11/8/2018,32.9
11/9/2018,32.83
11/12/2018,32.87
11/13/2018,32.63
11/14/2018,32.17
11/15/2018,32.27
11/16/2018,32.44
11/19/2018,33.24
11/20/2018,32.99
11/21/2018,33.47
11/23/2018,32.01
11/26/2018,32.29
11/27/2018,32
11/28/2018,32.35
11/29/2018,33.08
11/30/2018,32.73
12/3/2018,33.45
12/4/2018,32.86
12/6/2018,32.32
12/7/2018,31.93
12/10/2018,31.4
12/11/2018,31.49
12/12/2018,31.76
12/13/2018,32.27
12/14/2018,31.95
12/17/2018,31.19
12/18/2018,30.72
12/19/2018,31.32
12/20/2018,31.05
12/21/2018,30.76
12/24/2018,29.22
12/26/2018,30.26
12/27/2018,30.4
12/28/2018,30.91
12/31/2018,31.08
1/2/2019,31.58
1/3/2019,31.75
1/4/2019,32.62
1/7/2019,33.51
1/8/2019,34.2
1/9/2019,34.48
1/10/2019,34.7
1/11/2019,34.54
1/14/2019,34.8
1/15/2019,35.59
1/16/2019,35.59
1/17/2019,35.67
1/18/2019,36.1
1/22/2019,35.66
1/23/2019,35.61
1/24/2019,35.6
1/25/2019,36.09
1/28/2019,36.06
1/29/2019,36.45
1/30/2019,36.54
1/31/2019,36.62
2/1/2019,37
2/4/2019,37.44
2/5/2019,37.63
2/6/2019,37.44
2/7/2019,37.05
2/8/2019,36.1
2/11/2019,36.3
2/12/2019,35.67
2/13/2019,35.91
2/14/2019,35.7
2/15/2019,35.82
2/19/2019,36.29
2/20/2019,36.71
2/21/2019,36.97
2/22/2019,37.01
2/25/2019,36.87
2/26/2019,37.24
2/27/2019,37.26
2/28/2019,36.99
3/1/2019,37.25
3/4/2019,35.06
3/5/2019,35.62
3/6/2019,36.07
3/7/2019,36.46
3/8/2019,35.93
3/11/2019,36.49
3/12/2019,36.77
3/13/2019,36.97
3/14/2019,37.05
3/15/2019,36.52
3/18/2019,36.87
3/19/2019,37.05
3/20/2019,37.03
3/21/2019,36.78
3/22/2019,36.61
3/25/2019,36.5
3/26/2019,36.59
3/27/2019,36.66
3/28/2019,36.63
3/29/2019,36.26
4/1/2019,36.4
4/2/2019,36.61
4/3/2019,36.85
4/4/2019,36.83
4/5/2019,36.96
4/8/2019,37.09
4/9/2019,36.84
4/10/2019,36.77
4/11/2019,37.17
4/12/2019,37.47
4/15/2019,37.27
4/16/2019,37.11
4/17/2019,37.12
4/18/2019,37.19
4/22/2019,37.33
4/23/2019,37.67
4/24/2019,37.83
4/25/2019,37.78
4/26/2019,37.4
4/29/2019,37.31
4/30/2019,36.94
5/1/2019,36.83
5/2/2019,36.3
5/3/2019,36.65
5/6/2019,36.76
5/7/2019,36.56
5/8/2019,36.73
5/9/2019,36.55
5/10/2019,36.85
5/13/2019,37.26
5/14/2019,36.44
5/15/2019,36.67
5/16/2019,37.05
5/17/2019,37.53
5/20/2019,37.35
5/21/2019,37.57
5/22/2019,37.25
5/23/2019,36.99
5/24/2019,37.47
5/28/2019,37.51
5/29/2019,37.13
5/30/2019,36.77
5/31/2019,36.87
6/3/2019,35.23
6/4/2019,35.73
6/5/2019,35.57
6/6/2019,35.42
6/7/2019,35.51
6/10/2019,35.4
6/11/2019,34.77
6/12/2019,34.18
6/13/2019,34.31
6/14/2019,34.48
6/17/2019,34.24
6/18/2019,34.59
6/19/2019,34.92
6/20/2019,35.42
6/21/2019,35.16
6/24/2019,35.11
6/25/2019,34.84
6/26/2019,35.06
6/27/2019,35.54
6/28/2019,36.08
7/1/2019,36.17
7/2/2019,35.96
7/3/2019,36.25
7/5/2019,36.39
7/8/2019,35.98
7/9/2019,36.56
7/10/2019,36.75
7/11/2019,36.89
7/12/2019,36.51
7/15/2019,36.31
7/16/2019,35.95
7/17/2019,36.11
7/18/2019,36.29
7/19/2019,35.83
7/22/2019,35.73
7/23/2019,35.42
7/24/2019,34.99
7/25/2019,33.56
7/26/2019,33.6
7/29/2019,33.38
7/30/2019,33.33
7/31/2019,33.39
8/1/2019,33.64
8/2/2019,33.5
8/5/2019,32.93
8/6/2019,32.76
8/7/2019,33.52
